 parcel_id,land_use,property_address, property_city, sale_date, sale_price, sold_as_vacant,acreage, neighborhood, land_value,building_value, total_value,finished_area,year_built, bed_rooms,full_bath,half_bath
136 07 0 180.00,SINGLE FAMILY,3661  WOOD BRIDGE DR,NASHVILLE,2013-09-20,112500,No,0.3,6026,27000,101100,128900,1679,1977,3,2,0
136 10 0 090.00,SINGLE FAMILY,3517  LANAWOOD DR,NASHVILLE,2013-09-13,145000,No,0.3,6026,27000,123000,150000,2356,1983,4,3,0
136 13 0 110.00,SINGLE FAMILY,3013  GOODWIN DR,NASHVILLE,2013-09-10,11500,No,0.27,6028,23000,102700,125700,2009,1981,3,2,0
136 13 0 126.00,SINGLE FAMILY,3105  GOODWIN DR,NASHVILLE,2013-09-20,117000,No,0.24,6028,23000,81000,104000,1232,1981,3,2,0
136 14 0 116.00,SINGLE FAMILY,204  UPWIND CT,NASHVILLE,2013-09-24,139800,No,0.24,4291,22500,119300,141800,2371,1986,3,3,0
149 09 0 168.00,SINGLE FAMILY,513  BARCLAY SQUARE CT,ANTIOCH,2013-09-26,59000,No,0.23,3827,15500,66300,81800,1550,1977,3,1,1
149 10 0 003.00,SINGLE FAMILY,5000  PEBBLE CREEK DR,ANTIOCH,2013-09-24,115000,No,0.34,6031,25000,99100,124100,2055,1982,3,2,0
149 10 0 055.00,SINGLE FAMILY,5036  PEBBLE CREEK DR,ANTIOCH,2013-09-13,163000,No,0.24,6031,25000,104300,129300,2206,1993,3,3,0
149 13 0 049.00,SINGLE FAMILY,4780  BOWFIELD DR,ANTIOCH,2013-09-06,120000,No,0.3,3827,17500,77400,94900,1587,1968,3,1,0
150 02 0 088.00,SINGLE FAMILY,693  LAKE TERRACE DR,NASHVILLE,2013-09-16,125000,No,0.3,4291,22500,108000,130500,2145,1979,4,3,0
150 03 0 367.00,SINGLE FAMILY,1113  ELKADER CT S,ANTIOCH,2013-09-16,164900,No,0.27,6027,27500,141200,168700,2585,1991,4,3,0
150 03 0 379.00,SINGLE FAMILY,1017  AINSWORTH CIR,ANTIOCH,2013-09-20,168900,No,0.26,6027,27500,121100,148600,2099,1988,3,3,0
150 09 0 005.00,SINGLE FAMILY,2952  KINWOOD DR,ANTIOCH,2013-09-05,137500,No,0.35,6028,20400,93900,114300,1827,1970,3,1,1
150 09 0 028.00,SINGLE FAMILY,2928  WALNUT CREST DR,ANTIOCH,2013-09-20,128000,No,0.27,6028,20400,104500,126000,1595,1968,3,3,0
150 09 0 220.00,ZERO LOT LINE,3030  MOSSDALE DR,ANTIOCH,2013-09-13,72500,No,0.15,6028,11900,46500,58400,978,1984,2,1,1
150 10 0 076.00,SINGLE FAMILY,3432  TOWNESHIP RD,ANTIOCH,2013-09-16,113000,No,0.19,6027,27500,71500,99000,1274,1983,3,2,0
150 11 0 300.00,SINGLE FAMILY,6009  LEGEND DR,ANTIOCH,2013-09-16,115000,No,0.23,6027,27500,93000,120500,1436,1989,3,2,0
163 02 0 025.00,SINGLE FAMILY,5028  HIGHLANDER DR,ANTIOCH,2013-09-06,160000,No,0.22,4271,22500,126200,148700,2224,1999,3,3,0
163 02 0 088.00,SINGLE FAMILY,4505  HIGHLAND RIDGE DR,ANTIOCH,2013-09-17,130000,No,0.24,4271,22500,99600,122100,1710,2001,3,2,1
081 08 0 270.00,SINGLE FAMILY,1824  5TH AVE N,NASHVILLE,2013-09-04,195000,No,0.2,126,40000,73200,116900,1010,1920,2,1,0
081 08 0 297.00,VACANT RES LAND,1831  4TH AVE N,NASHVILLE,2013-09-27,70000,No,0.13,126,40000,248500,288500,1990.125,2014,4,2,1
081 08 0 321.00,SINGLE FAMILY,819  BUCHANAN ST,NASHVILLE,2013-09-13,18000,No,0.17,126,40000,129900,169900,1372,1920,3,2,0
081 12 0 258.00,SINGLE FAMILY,1535  ARTHUR AVE,NASHVILLE,2013-09-30,166000,No,0.07,126,20000,101200,121200,1324,2009,2,2,1
081 16 0 607.00,VACANT RES LAND,1016  11TH AVE N,NASHVILLE,2013-09-12,65000,Yes,0.17,126,40000,287000,332800,2300,2015,3,2,1
082 09 0 261.00,SINGLE FAMILY,1221  6TH AVE N,NASHVILLE,2013-09-23,308000,No,0.14,107,61000,96600,157600,1639,1899,4,1,0
092 04 0 270.00,SINGLE FAMILY,929  11TH AVE N,NASHVILLE,2013-09-05,217500,No,0.16,126,40000,143700,183700,1458,1920,4,2,0
093 16 0 218.00,SINGLE FAMILY,56  ROBERTSON ST,NASHVILLE,2013-10-11,35000,No,0.13,1426,7500,34700,42200,1100,1920,2,2,0
105 03 0 094.00,SINGLE FAMILY,1075  2ND AVE S,NASHVILLE,2013-10-30,247500,No,0.15,1426,10000,154800,164800,1460,1910,3,1,0
105 04 0 078.00,TRIPLEX,32  TRIMBLE ST,NASHVILLE,2013-10-31,45000,No,0.32,1426,15000,32000,47000,1675,1963,4,3,0
105 07 0 300.00,SINGLE FAMILY,604  MOORE AVE,NASHVILLE,2013-10-25,85000,No,0.17,3127,45000,51300,96300,733,1940,2,1,0
106 13 0 139.00,SINGLE FAMILY,2121  SADLER AVE,NASHVILLE,2013-10-01,50100,No,0.19,3130,22000,92400,117500,1036,1940,2,1,0
106 13 0 156.00,SINGLE FAMILY,107  SADLER CT,NASHVILLE,2013-10-31,115000,No,0.29,3130,22000,111700,133700,1174,1997,3,2,0
106 14 0 094.00,SINGLE FAMILY,81  SCOBEY DR,NASHVILLE,2013-10-11,107000,No,0.26,3132,18000,84300,103000,1280,1951,2,2,0
119 02 0 215.00,SINGLE FAMILY,105  VALERIA ST,NASHVILLE,2013-10-25,55100,No,0.26,3130,25000,91100,116100,2353,2016,3,2,0
119 05 0 243.00,DUPLEX,103  ELBERTA ST,NASHVILLE,2013-10-30,70000,No,0.29,3130,25000,115100,140100,1652,1965,4,2,0
119 05 0 281.00,SINGLE FAMILY,225  LUTIE ST,NASHVILLE,2013-10-04,109500,No,0.23,3130,25000,101700,126700,1740,1910,3,2,1
119 06 0 027.00,SINGLE FAMILY,83  PEACHTREE ST,NASHVILLE,2013-10-11,99000,No,0.25,3130,18000,139400,157400,1280,1949,2,2,0
119 06 0 217.00,SINGLE FAMILY,61  JAY ST,NASHVILLE,2013-10-16,119900,No,0.37,3130,18000,78300,99600,1584,1949,2,2,0
119 06 0 255.00,SINGLE FAMILY,2700  HARTFORD DR,NASHVILLE,2013-10-15,69796,No,0.32,3126,26000,81000,108600,1180,1949,3,1,0
119 14 0 039.00,SINGLE FAMILY,2905  DOBBS AVE,NASHVILLE,2013-10-31,176000,No,0.32,3126,26000,108600,134600,1416,1950,3,1,1
119 15 0 145.00,SINGLE FAMILY,126  NEESE DR,NASHVILLE,2013-10-24,54500,No,0.4,3131,25000,38900,76200,1032,1950,2,2,0
132 16 0 017.00,SINGLE FAMILY,4729  TIMBERHILL DR,NASHVILLE,2013-10-01,279000,No,0.24,4026,35500,204200,239700,2250,1963,3,2,1
132 16 0 050.00,SINGLE FAMILY,403  LYNN DR,NASHVILLE,2013-10-31,165000,No,0.33,4026,35500,151300,186800,1501,1963,3,1,1
133 01 0 341.00,ZERO LOT LINE,537  DRAKE AVE,NASHVILLE,2013-10-31,47500,No,0.13,3179,9500,44800,54300,848,1985,2,1,1
133 02 0 316.00,SINGLE FAMILY,210  MCCALL ST,NASHVILLE,2013-10-07,98000,No,0.25,3126,26000,84400,110600,1458,1920,2,1,0
133 02 0 363.00,SINGLE FAMILY,191  MCCALL ST,NASHVILLE,2013-10-22,116500,No,0.43,3126,26000,128100,154100,1552,1966,3,1,1
133 06 0 194.00,SINGLE FAMILY,241  WHEELER AVE,NASHVILLE,2013-10-17,139900,No,0.43,3131,25000,69700,94700,1148,1941,2,2,0
133 07 0 147.00,SINGLE FAMILY,3325  DUMAS DR,NASHVILLE,2013-10-31,220000,No,0.77,3131,25000,139600,164600,2600,1964,3,2,1
133 13 0 120.00,SINGLE FAMILY,520  ELAINE DR,NASHVILLE,2013-10-31,197000,No,0.34,4026,35500,116600,157200,1295,1955,3,1,1
133 14 0 023.00,SINGLE FAMILY,4714  ABBAY DR,NASHVILLE,2013-10-08,155000,No,0.34,4026,35500,113100,148600,1218,1955,3,1,1
134 13 0 116.00,SINGLE FAMILY,4810  LINBAR DR,NASHVILLE,2013-10-24,90000,No,0.22,3926,21500,82600,104100,1237,1962,3,1,0
146 15 0 104.00,SINGLE FAMILY,604  ROCHELLE DR,NASHVILLE,2013-10-17,220000,No,0.35,4026,47000,165800,212800,1299,1955,2,1,0
147 03 0 002.00,SINGLE FAMILY,4838  SHEFFIELD DR,NASHVILLE,2013-10-30,143900,No,0.45,4026,35500,131500,167000,1100,1961,3,1,0
147 05 0 061.00,SINGLE FAMILY,4814  E LONGDALE DR,NASHVILLE,2013-10-21,241250,No,0.34,4026,38500,261900,300400,2150.00006,1962,3,3,0
147 06 0 164.00,SINGLE FAMILY,4932  DARLINGTON DR,NASHVILLE,2013-10-30,249000,No,0.61,4026,46000,187200,235600,1721,1959,3,1,1
147 06 0 228.00,SINGLE FAMILY,629  WHISPERING HILLS DR,NASHVILLE,2013-10-28,60000,No,0.44,4028,32000,106800,138800,1450,1964,3,1,1
147 08 0 008.00,SINGLE FAMILY,4905  HOPEDALE DR,NASHVILLE,2013-10-31,144000,No,0.95,3927,26000,120400,147000,2186.51996,1959,3,2,0
147 08 0 072.00,SINGLE FAMILY,4805  WALES CT,NASHVILLE,2013-10-08,113000,No,0.68,3927,26000,90400,116400,1545,1961,2,1,0
147 08 0 134.00,SINGLE FAMILY,3743  FAULKNER DR,NASHVILLE,2013-10-24,163500,No,0.34,3927,26000,130200,159400,2259.00003,1965,3,3,0
147 10 0 011.00,SINGLE FAMILY,4903  DARLINGTON CT,NASHVILLE,2013-10-10,252000,No,0.57,4026,46000,263000,311300,3000,1960,4,3,0
147 10 0 088.00,SINGLE FAMILY,623  DURRETT DR,NASHVILLE,2013-10-04,155000,No,0.79,4028,32000,110400,142400,1641,1959,3,2,0
147 11 0 103.00,SINGLE FAMILY,505  NORTHCREST DR,NASHVILLE,2013-10-21,237000,No,0.81,4028,32000,160700,205900,2194.86,1959,3,1,0
147 14 0 113.00,SINGLE FAMILY,551  BREWER DR,NASHVILLE,2013-10-25,149900,No,0.82,4028,32000,165600,197600,1957.34,1957,3,2,1
147 15 0 195.00,SINGLE FAMILY,461  MCMURRAY DR,NASHVILLE,2013-10-18,172000,No,0.41,4028,32000,119600,151600,1575,1958,3,1,0
148 09 0 120.00,SINGLE FAMILY,3916  W VALLEY DR,NASHVILLE,2013-10-25,125000,No,0.34,3927,21000,68400,89400,1231,1957,3,1,0
148 13 0 055.00,SINGLE FAMILY,369  MELPAR DR,NASHVILLE,2013-10-08,95000,No,0.36,3927,21000,71500,92500,950,1957,2,1,0
148 13 0 089.00,SINGLE FAMILY,4905  CEDAR HILL RD,NASHVILLE,2013-10-07,93000,No,0.32,3927,21000,74200,95200,1225,1963,2,1,0
148 13 0 196.00,SINGLE FAMILY,4940  PACKARD DR,NASHVILLE,2013-10-30,100000,No,0.63,3927,21000,82600,107600,1470,1958,3,1,0
148 15 0 177.00,SINGLE FAMILY,3924  BRADLEY CT,ANTIOCH,2013-10-30,129900,No,0.18,3929,24000,91100,116500,1656,1978,3,1,1
160 03 0 107.00,SINGLE FAMILY,5365  ANCHORAGE CT,NASHVILLE,2013-10-30,225000,No,0.45,4026,35300,211800,247100,1500,1968,3,2,0
160 04 0 039.00,SINGLE FAMILY,5225  TROUSDALE DR,NASHVILLE,2013-10-30,275000,No,0.41,4026,37600,187800,225400,1699,1955,2,1,0
160 04 0 092.00,SINGLE FAMILY,405  RITCHIE DR,NASHVILLE,2013-10-18,280000,No,0.82,4026,55000,292800,347800,2046,1962,3,2,0
160 04 0 131.00,SINGLE FAMILY,542  BRENTVIEW HILLS DR,NASHVILLE,2013-10-31,340000,No,0.5,4026,55000,215000,270000,1795,1974,3,2,0
160 07 0 024.00,SINGLE FAMILY,756  HILL RD,BRENTWOOD,2013-10-31,525000,No,2.2,4027,101400,178500,279900,2341.19995,1928,4,2,0
160 11 0 016.00,SINGLE FAMILY,617  SPRING HOUSE CT,BRENTWOOD,2013-10-31,294000,No,0.46,4027,60000,240700,300700,2618,1983,3,2,0
161 03 0 059.00,SINGLE FAMILY,493  WHISPERING HILLS DR,NASHVILLE,2013-10-23,186500,No,0.38,4028,32000,118800,158700,1389,1956,2,2,0
161 06 0 136.00,SINGLE FAMILY,620  HUNTINGTON RIDGE DR,NASHVILLE,2013-10-08,155000,No,0.3,4028,34000,118200,152200,1410,1970,3,1,1
161 09 0 040.00,SINGLE FAMILY,5500  THALMAN DR,BRENTWOOD,2013-10-22,259000,No,0.69,4027,60000,169400,229400,1617,1977,3,2,0
161 09 0 046.00,SINGLE FAMILY,5512  GRANBERRY HEIGHTS DR,BRENTWOOD,2013-10-18,312000,No,0.53,4027,60000,185800,245800,1826,1976,3,2,0
161 10 0 039.00,SINGLE FAMILY,596  HUNTINGTON PKWY,NASHVILLE,2013-10-08,149800,No,0.3,4028,34000,108500,142500,1950,1973,3,1,1
161 16 0 003.00,SINGLE FAMILY,509  CEDARHILL CT,ANTIOCH,2013-10-30,80000,No,0.26,4079,25000,87000,112000,1303,1988,3,2,0
161 16 0 003.00,SINGLE FAMILY,509  CEDARHILL CT,ANTIOCH,2013-10-30,70000,No,0.26,4079,25000,87000,112000,1303,1988,3,2,0
162 00 0 049.00,GREENBELT,208  BENZING RD,ANTIOCH,2013-10-30,193890,No,16.17,3929,45824,50100,111424,1796,1925,4,1,0
162 05 0 050.00,SINGLE FAMILY,359  OCALA DR,NASHVILLE,2013-10-03,128500,No,0.74,3927,25000,119300,165900,1988,1961,3,2,0
162 05 0 113.00,SINGLE FAMILY,5344  EULALA DR,NASHVILLE,2013-10-14,87339,No,0.32,3929,24000,81200,105200,1508,1971,3,2,0
162 06 0 047.00,SINGLE FAMILY,234  DELVIN DR,ANTIOCH,2013-10-31,110000,No,0.22,3929,24000,70800,94800,1326,1971,3,1,0
162 10 0 109.00,SINGLE FAMILY,605  ROXANNE CT,ANTIOCH,2013-10-31,115000,No,0.34,3929,24000,94000,118000,1773.68002,1974,3,2,0
162 10 0 174.00,SINGLE FAMILY,616  ROXANNE DR,ANTIOCH,2013-10-23,148800,No,0.33,3929,24000,112300,136300,1800,1974,3,2,0
171 08 0 025.00,SINGLE FAMILY,501  GREEN APPLE TURN,BRENTWOOD,2013-10-11,365000,No,0.96,4027,66000,298800,364800,3748,1980,4,3,0
172 02 0 072.00,SINGLE FAMILY,5932  WOODLAND HILLS DR,NASHVILLE,2013-10-08,472000,No,0.51,4027,67000,391200,458200,4421,1986,4,4,0
172 04 0 022.00,SINGLE FAMILY,613  MONTE CARLO DR,ANTIOCH,2013-10-29,126300,No,0.36,4079,25000,107200,132200,1958,1977,3,2,0
172 10 0 016.00,VACANT RES LAND,6248  PALOMAR CT,NASHVILLE,2013-10-01,59000,Yes,0.34,4069,59500,266100,325600,2183,2014,4,3,1
081 16 0 330.00,SINGLE FAMILY,1111  14TH AVE N,NASHVILLE,2013-10-11,143000,No,0.08,326,6000,123500,129500,1512,2006,3,2,1
091 14 0 243.00,SINGLE FAMILY,311  54TH AVE N,NASHVILLE,2013-10-01,220000,No,0.23,2526,120000,232700,360400,2588,1950,3,3,0
091 15 0 274.00,SINGLE FAMILY,4906  ELKINS AVE,NASHVILLE,2013-10-23,230000,No,0.17,2526,150000,384000,543700,3252,1920,4,3,1
092 13 0 006.00,SINGLE FAMILY,3904  PARK AVE,NASHVILLE,2013-10-15,249900,No,0.17,1126,65000,103500,176100,1066,1925,3,1,0
092 13 0 269.00,SINGLE FAMILY,339  CHAMBERLIN ST,NASHVILLE,2013-10-16,145250,No,0.17,1126,65000,54700,119700,704,1956,2,1,0
092 13 0 270.00,SINGLE FAMILY,337  CHAMBERLIN ST,NASHVILLE,2013-10-23,135000,No,0.17,1126,65000,55500,120500,704,1956,2,1,0
092 13 0 399.00,SINGLE FAMILY,253  33RD AVE N,NASHVILLE,2013-10-11,517000,No,0.16,1126,130000,331600,463200,2718,2006,3,3,1
093 13 0 380.00,DUPLEX,1402  SOUTH ST,NASHVILLE,2013-10-15,382500,No,0.23,1026,45000,178400,223400,2900,1910,5,2,1
102 04 0 152.00,SINGLE FAMILY,456  WILCLAY DR,NASHVILLE,2013-10-11,176000,No,0.34,3337,32000,130600,162600,1650,1971,4,2,0
102 08 0 006.00,SINGLE FAMILY,6445  CHARLOTTE ROAD CIR,NASHVILLE,2013-10-08,259400,No,1.01,4426,100000,64800,179600,2064,1959,3,1,1
102 12 0 011.00,SINGLE FAMILY,851  SUMMERLY DR,NASHVILLE,2013-10-31,197000,No,0.59,4426,115000,115200,230200,1673,1954,2,1,0
102 12 0 036.00,SINGLE FAMILY,6737  FLEETWOOD DR,NASHVILLE,2013-10-10,303500,No,0.61,4426,115000,182200,309500,1734,1952,3,2,0
102 12 0 096.00,SINGLE FAMILY,804  SUMMERLY DR,NASHVILLE,2013-10-28,774999,No,1.49,4426,126500,640100,766600,4032.25,2013,5,4,0
102 14 0 074.00,SINGLE FAMILY,1212  SHILOH DR,NASHVILLE,2013-10-23,290000,No,0.49,4426,115000,106200,221200,1797,1963,3,1,1
102 15 0 015.00,SINGLE FAMILY,737  NEWBERRY RD,NASHVILLE,2013-10-17,260000,No,0.97,4426,135000,106200,241200,1798,1957,3,1,1
102 16 0 060.00,SINGLE FAMILY,508  HUCKLEBERRY RD,NASHVILLE,2013-10-29,1560000,No,1.25,4427,190000,1207800,1449700,6980,2009,5,4,2
103 03 0 105.00,SINGLE FAMILY,5004  IDAHO AVE,NASHVILLE,2013-10-24,210000,Yes,0.17,2526,150000,529300,679300,4028.94999,2014,4,4,0
103 03 0 158.00,SINGLE FAMILY,4806  WYOMING AVE,NASHVILLE,2013-10-30,235000,No,0.17,2526,150000,412800,573600,3056,2014,4,3,1
103 03 0 170.01,SINGLE FAMILY,4707  IDAHO AVE,NASHVILLE,2013-10-08,215000,No,0.17,2526,150000,490200,655500,3779,2014,4,3,0
103 03 0 201.00,SINGLE FAMILY,144  51ST AVE N,NASHVILLE,2013-10-07,671995,No,0.21,2526,150000,396300,561600,2921,2013,4,3,1
103 04 0 095.00,DUPLEX,4606  UTAH AVE,NASHVILLE,2013-10-11,279000,No,0.26,2526,165000,197400,364400,1790,1900,3,2,0
103 04 0 110.00,SINGLE FAMILY,144  46TH AVE N,NASHVILLE,2013-10-30,320000,No,0.2,2526,150000,122500,272500,1458,1950,4,2,0
103 06 0 014.00,SINGLE FAMILY,5620  KENDALL DR,NASHVILLE,2013-10-15,287000,No,0.3,3332,65000,190400,255400,1444,1964,3,2,0
103 06 0 150.00,DUPLEX,5558  KNOB RD,NASHVILLE,2013-10-15,299000,No,0.39,3339,60000,140000,200000,1444,1949,3,2,0
103 08 0 077.00,SINGLE FAMILY,123  43RD AVE N,NASHVILLE,2013-10-30,260000,No,0.33,2526,165000,143400,308400,2234,1951,3,3,0
103 08 0 202.00,SINGLE FAMILY,4124  ABERDEEN RD,NASHVILLE,2013-10-16,325000,No,0.19,2626,160000,128900,296300,1109,1949,2,2,1
103 08 0 259.00,SINGLE FAMILY,500 B  WILSON BLVD,NASHVILLE,2013-10-22,369000,No,0.13,2626,175000,118900,293900,1377,1933,2,1,0
103 10 0 019.00,SINGLE FAMILY,724  BRANCH CREEK RD,NASHVILLE,2013-10-31,318000,No,0.25,3332,65000,209400,274400,1844,1948,4,2,0
103 12 0 084.00,SINGLE FAMILY,239  LAUDERDALE RD,NASHVILLE,2013-10-07,933295,No,0.45,2626,214500,693100,923500,4204,1960,4,3,1
103 16 0 115.00,SINGLE FAMILY,410  WILSON BLVD,NASHVILLE,2013-10-04,1200000,No,0.51,3227,270000,1027000,1297000,5932.70001,2005,4,4,1
104 01 0 216.00,SINGLE FAMILY,217  38TH AVE N,NASHVILLE,2013-10-25,235000,No,0.2,2526,150000,389100,539100,2755,2014,4,3,0
104 01 0 435.00,SINGLE FAMILY,194  37TH AVE N,NASHVILLE,2013-10-23,125000,No,0.22,1126,65000,334400,399400,2878.03247,1930,3,3,1
104 01 0 449.00,SINGLE FAMILY,216 B  38TH AVE N,NASHVILLE,2013-10-16,575000,No,0.25,2526,150000,375000,539800,2859.5,2013,4,3,0
104 02 0 168.00,SINGLE FAMILY,3125  BELWOOD ST,NASHVILLE,2013-10-15,587000,No,0.18,2126,120000,469100,589100,3176,1925,5,3,2
104 05 0 335.00,SINGLE FAMILY,315  GREENWAY AVE,NASHVILLE,2013-10-30,482500,No,0.23,2626,190800,230500,422200,2073.5,1920,2,2,1
104 05 0 379.00,SINGLE FAMILY,3507  CENTRAL AVE,NASHVILLE,2013-10-24,464400,No,0.14,2626,195000,320100,515100,2165.37756,1918,3,3,0
104 06 0 227.00,SINGLE FAMILY,3212  ACKLEN AVE,NASHVILLE,2013-10-25,315000,No,0.23,2426,214500,158300,372800,1506,1946,3,1,1
104 07 0 272.00,SINGLE FAMILY,2610  BELCOURT AVE,NASHVILLE,2013-10-30,499000,No,0.2,2426,214500,151300,366900,1422,1920,3,2,0
104 13 0 211.00,SINGLE FAMILY,3637  VALLEY VISTA RD,NASHVILLE,2013-10-18,585000,No,0.2,3226,220000,283000,503000,2761.25,1925,3,3,0
104 13 0 238.00,VACANT RES LAND,3626  SARATOGA DR,NASHVILLE,2013-10-22,275000,Yes,0.29,3226,220000,619900,839900,3975,2014,5,5,1
104 14 0 115.00,SINGLE FAMILY,2807  W LINDEN AVE,NASHVILLE,2013-10-29,702000,No,0.17,2426,214500,343000,557500,3146.3501,1928,3,3,0
104 15 0 138.00,SINGLE FAMILY,2712  W LINDEN AVE,NASHVILLE,2013-10-30,450000,No,0.18,2426,214500,226200,440700,2345.5,1930,5,3,0
104 15 0 419.00,SINGLE FAMILY,2613  WOODLAWN DR,NASHVILLE,2013-10-11,410000,No,0.22,2426,214500,156400,376000,1608,1938,2,2,0
104 15 0 462.00,SINGLE FAMILY,2707 A  W LINDEN AVE,NASHVILLE,2013-10-31,472500,No,0.22,2426,214500,274900,489400,2207,1993,4,3,0
104 16 0 122.00,SINGLE FAMILY,1807  ASHWOOD AVE,NASHVILLE,2013-10-07,886950,No,0.36,2226,180000,570300,764900,3057.5,1918,4,3,0
104 16 0 132.00,VACANT RES LAND,1908  LINDEN AVE,NASHVILLE,2013-10-29,700000,No,0.2,2226,180000,628900,843600,3726,2014,4,3,1
104 16 0 133.00,DUPLEX,1910  LINDEN AVE,NASHVILLE,2013-10-29,700000,No,0.2,2226,180000,759200,978200,3319.28,1920,4,4,1
104 16 0 191.00,SINGLE FAMILY,1727  LINDEN AVE,NASHVILLE,2013-10-31,718000,No,0.46,2226,207000,389200,596200,2879.5,1948,4,3,0
105 01 0 060.00,SINGLE FAMILY,1301  SOUTH ST,NASHVILLE,2013-10-15,195000,No,0.18,1026,60000,113600,173600,1175,1974,3,1,0
105 09 0 208.00,SINGLE FAMILY,1006  CALDWELL AVE,NASHVILLE,2013-10-31,633750,No,0.2,1626,140000,434000,584400,3120,2013,4,3,0
105 09 0 386.00,SINGLE FAMILY,922  ACKLEN AVE,NASHVILLE,2013-10-01,400000,No,0.23,1626,140000,195500,335500,2512,1925,5,2,0
105 13 0 056.00,DUPLEX,2107  12TH AVE S,NASHVILLE,2013-10-18,340000,No,0.15,2228,150000,48500,199000,2005.28003,1930,4,2,0
105 13 0 220.00,SINGLE FAMILY,2225  11TH AVE S,NASHVILLE,2013-10-31,587000,No,0.21,1626,140000,332300,472300,2754.15002,2010,3,2,0
115 01 0 012.00,SINGLE FAMILY,915  RODNEY DR,NASHVILLE,2013-10-29,264000,No,0.95,4428,150000,94700,244700,1447,1960,3,2,0
115 03 0 036.00,SINGLE FAMILY,758  BROOK HOLLOW RD,NASHVILLE,2013-10-30,240000,No,0.97,4426,135000,114000,249000,1614,1956,2,1,1
115 03 0 096.00,SINGLE FAMILY,624  GEORGETOWN DR,NASHVILLE,2013-10-11,319424,No,0.94,4426,135000,159400,307900,2278,1956,4,3,0
115 13 0 019.00,SINGLE FAMILY,767  RODNEY DR,NASHVILLE,2013-10-18,329000,No,1.41,4428,150000,96400,246400,2365,1966,4,2,0
115 15 0 022.00,SINGLE FAMILY,6233  BRESSLYN RD,NASHVILLE,2013-10-18,332000,No,0.95,4429,190000,941200,1131200,5055,1952,6,4,1
115 16 0 075.00,SINGLE FAMILY,156  HAVERFORD DR,NASHVILLE,2013-10-18,300000,No,0.4,4429,170000,670100,840100,5120.05002,1950,3,3,0
116 04 0 038.00,DUPLEX,184 A  KENNER AVE,NASHVILLE,2013-10-11,384000,No,0.14,3227,190000,168100,362100,1734.23999,1940,4,2,0
116 04 0 048.00,SINGLE FAMILY,160  KENNER AVE,NASHVILLE,2013-10-15,275000,No,0.2,3227,190000,183000,373000,2273,1910,4,2,0
116 09 0 044.00,SINGLE FAMILY,5917  LONG MEADOW RD,NASHVILLE,2013-10-15,508000,No,0.98,4429,190000,285600,476200,2825,1961,2,2,0
116 11 0 059.00,SINGLE FAMILY,4301  LILLYWOOD RD,NASHVILLE,2013-10-14,974999,No,1.11,9026,780000,306300,1125500,5048.06006,1956,4,4,1
116 12 0 118.00,SINGLE FAMILY,3903  ABBOTT MARTIN RD,NASHVILLE,2013-10-31,415000,No,0.84,3228,317500,96900,414400,2649,1956,3,1,1
116 14 0 137.00,SINGLE FAMILY,425  JACKSON BLVD,NASHVILLE,2013-10-15,2900000,No,1,9026,722300,1814100,2597400,7828,1996,5,5,3
116 16 0 106.00,SINGLE FAMILY,4014  SNEED RD,NASHVILLE,2013-10-04,1580000,No,0.55,3228,315000,957600,1324500,5649,2013,5,5,1
116 16 0 148.00,SINGLE FAMILY,4124  WALLACE LN,NASHVILLE,2013-10-10,387000,No,1.12,3228,378000,867400,1245400,6179,2014,5,5,1
117 02 0 090.00,SINGLE FAMILY,3003  MEDIAL AVE,NASHVILLE,2013-10-04,590000,No,0.45,3226,280000,235100,515100,2389,1939,2,2,0
117 02 0 162.00,SINGLE FAMILY,2905  23RD AVE S,NASHVILLE,2013-10-18,509000,No,0.5,3226,280000,287500,584600,3479.80005,1931,4,3,1
117 04 0 082.00,SINGLE FAMILY,2605  OAKLAND AVE,NASHVILLE,2013-10-01,1082000,No,0.22,2226,180000,684700,898000,3348,1928,4,3,1
117 04 0 204.00,SINGLE FAMILY,1913  WILDWOOD AVE,NASHVILLE,2013-10-14,408000,No,0.27,2229,198000,162100,360100,1825,1943,2,2,0
117 07 0 121.00,SINGLE FAMILY,3404  HOPKINS ST,NASHVILLE,2013-10-08,575000,Yes,0.61,3727,253000,700000,953000,5448.5,2014,6,5,1
117 08 0 011.00,SINGLE FAMILY,2912  PRIMROSE CIR,NASHVILLE,2013-10-03,275000,No,0.26,2229,198000,235500,433500,2362.5,1941,4,3,0
117 08 0 198.00,SINGLE FAMILY,1500  GALE LN,NASHVILLE,2013-10-21,1600000,No,0.41,2226,207000,1469000,1704300,7312,1899,5,6,1
117 13 0 065.00,SINGLE FAMILY,2832  KENWAY RD,NASHVILLE,2013-10-01,455000,No,0.5,3228,200000,383200,583200,3238,1954,2,4,0
117 16 0 188.00,SINGLE FAMILY,1113  MORROW AVE,NASHVILLE,2013-10-04,349500,No,0.48,3727,190000,153400,360200,2100,1942,3,2,0
118 01 0 078.00,SINGLE FAMILY,1209  PARIS AVE,NASHVILLE,2013-10-29,435000,No,0.18,2228,180000,379800,559800,3204.09998,1918,4,3,1
118 01 0 079.00,SINGLE FAMILY,1207  PARIS AVE,NASHVILLE,2013-10-02,355000,No,0.18,2228,180000,94100,275200,1541,1916,3,2,0
